Fecha,TIPO CAMBIO COMPRA,TIPO DE CAMBIO VENTA
01-01-2010,558.67,571.81
02-01-2010,558.67,571.81
03-01-2010,558.67,571.81
04-01-2010,558.67,571.81
05-01-2010,558.15,568.02
06-01-2010,559.89,569.69
07-01-2010,564.54,574.52
08-01-2010,570.40,580.56
09-01-2010,572.06,582.21
10-01-2010,572.06,582.21
11-01-2010,572.06,582.21
12-01-2010,567.67,577.90
13-01-2010,564.49,574.78
14-01-2010,561.30,571.43
15-01-2010,556.33,566.72
16-01-2010,552.43,562.75
17-01-2010,552.43,562.75
18-01-2010,552.43,562.75
19-01-2010,556.25,566.10
20-01-2010,556.60,566.54
21-01-2010,552.30,562.63
22-01-2010,546.50,556.56
23-01-2010,558.97,568.96
24-01-2010,558.97,568.96
25-01-2010,558.97,568.96
26-01-2010,557.12,567.15
27-01-2010,554.91,564.91
28-01-2010,557.42,567.49
29-01-2010,551.64,561.58
30-01-2010,555.00,565.11
31-01-2010,555.00,565.11
01-02-2010,555.00,565.11
02-02-2010,554.07,564.12
03-02-2010,553.46,563.52
04-02-2010,552.08,562.11
05-02-2010,552.28,562.30
06-02-2010,549.89,560.04
07-02-2010,549.89,560.04
08-02-2010,549.89,560.04
09-02-2010,548.45,558.51
10-02-2010,551.47,561.48
11-02-2010,551.78,561.77
12-02-2010,545.05,555.09
13-02-2010,545.16,555.21
14-02-2010,545.16,555.21
15-02-2010,545.16,555.21
16-02-2010,544.74,554.37
17-02-2010,549.35,559.10
18-02-2010,550.20,560.21
19-02-2010,547.16,557.03
20-02-2010,545.76,555.84
21-02-2010,545.76,555.84
22-02-2010,545.76,555.84
23-02-2010,545.06,554.85
24-02-2010,548.46,558.24
25-02-2010,547.02,556.72
26-02-2010,546.74,556.56
27-02-2010,548.54,558.45
28-02-2010,548.54,558.45
01-03-2010,548.54,558.45
02-03-2010,545.67,555.41
03-03-2010,544.60,554.34
04-03-2010,544.40,554.22
05-03-2010,543.29,553.09
06-03-2010,542.11,551.95
07-03-2010,542.11,551.95
08-03-2010,542.11,551.95
09-03-2010,540.38,550.41
10-03-2010,540.32,550.39
11-03-2010,539.28,549.24
12-03-2010,539.12,549.21
13-03-2010,536.72,546.49
14-03-2010,536.72,546.49
15-03-2010,536.72,546.49
16-03-2010,523.05,532.59
17-03-2010,525.23,535.30
18-03-2010,532.99,543.06
19-03-2010,534.52,544.65
20-03-2010,530.87,541.30
21-03-2010,530.87,541.30
22-03-2010,530.87,541.30
23-03-2010,525.15,535.70
24-03-2010,521.08,531.37
25-03-2010,518.51,528.78
26-03-2010,519.23,529.36
27-03-2010,520.00,530.19
28-03-2010,520.00,530.19
29-03-2010,520.00,530.19
30-03-2010,519.08,529.43
31-03-2010,518.51,528.78
01-04-2010,517.73,528.09
02-04-2010,517.73,528.09
03-04-2010,517.73,528.09
04-04-2010,517.73,528.09
05-04-2010,517.73,528.09
06-04-2010,515.27,525.39
07-04-2010,512.48,522.46
08-04-2010,512.53,523.08
09-04-2010,515.20,525.16
10-04-2010,515.23,525.24
11-04-2010,515.23,525.24
12-04-2010,515.23,525.24
13-04-2010,515.31,525.39
14-04-2010,514.67,524.81
15-04-2010,514.10,524.30
16-04-2010,511.14,521.54
17-04-2010,508.00,518.24
18-04-2010,508.00,518.24
19-04-2010,508.00,518.24
20-04-2010,506.12,516.64
21-04-2010,506.48,516.70
22-04-2010,506.78,516.81
23-04-2010,506.74,516.59
24-04-2010,506.11,516.21
25-04-2010,506.11,516.21
26-04-2010,506.11,516.21
27-04-2010,506.15,516.23
28-04-2010,506.52,516.59
29-04-2010,506.59,516.45
30-04-2010,505.90,516.04
01-05-2010,505.42,515.56
02-05-2010,505.42,515.56
03-05-2010,505.42,515.56
04-05-2010,503.29,513.17
05-05-2010,505.94,515.99
06-05-2010,511.15,521.38
07-05-2010,521.07,532.06
08-05-2010,532.78,544.43
09-05-2010,532.78,544.43
10-05-2010,532.78,544.43
11-05-2010,532.26,543.04
12-05-2010,525.13,535.76
13-05-2010,514.12,524.57
14-05-2010,511.83,521.93
15-05-2010,507.43,517.32
16-05-2010,507.43,517.32
17-05-2010,507.43,517.32
18-05-2010,515.29,525.95
19-05-2010,525.40,536.16
20-05-2010,530.69,541.15
21-05-2010,529.31,539.83
22-05-2010,530.39,540.92
23-05-2010,530.39,540.92
24-05-2010,530.39,540.92
25-05-2010,530.56,540.88
26-05-2010,534.81,545.52
27-05-2010,534.99,545.68
28-05-2010,534.94,545.64
29-05-2010,535.14,545.72
30-05-2010,535.14,545.72
31-05-2010,535.14,545.72
01-06-2010,535.68,546.38
02-06-2010,538.95,549.52
