codigo,descripcion
0111100000100,"Trigo duro, para siembra (semillas)"
0111100009900,"Trigo, para siembra (semillas), excepto duro"
0111200000100,"Trigo duro, excepto para siembra"
0111200000200,"Trigo, para producción de alimento para animales "
0111200009900,"Trigo, n.c.p."
0112100000000,"Maíz, para siembra (semillas)"
0112201010100,"Maíz blanco, desgranado, seco, para consumo humano"
0112201010200,"Maíz blanco, desgranado, seco, para producción de alimento para animales"
0112201020100,"Maíz blanco, en mazorca, seco, para consumo humano"
0112201020200,"Maíz blanco, en mazorca, seco, para producción de alimento para animales"
0112202010100,"Maíz amarillo, desgranado, seco, para consumo humano"
0112202010200,"Maíz amarillo, desgranado, seco, para producción de alimento para animales"
0112202020100,"Maíz amarillo, en mazorca, seco, para consumo humano"
0112202020200,"Maíz amarillo, en mazorca, seco, para producción de alimento para animales"
0112203010000,"Maíz palomero tipo ""pop"", desgranado, seco"
0112203020000,"Maíz palomero tipo ""pop"", en mazorca, seco"
0112299010100,"Maíz, desgranado, seco, para consumo humano, n.c.p."
0112299010200,"Maíz, desgranado, seco, para producción de alimento para animales, n.c.p."
0112299020100,"Maíz, en mazorca, seco, para consumo humano, n.c.p."
0112299020200,"Maíz, en mazorca, seco, para producción de alimento para animales, n.c.p."
0113100000000,"Arroz, para siembra (semillas)"
0113200000000,"Arroz con cáscara (no descascarillado), excepto para siembra"
0114100000000,"Sorgo, para siembra (semillas)"
0114200000100,"Sorgo, para producción de alimento para animales"
0114200009900,"Sorgo, n.c.p."
0115100000000,"Cebada, para siembra (semillas)"
0115200000000,"Cebada, excepto para siembra"
0116100000000,"Centeno, para siembra (semillas)"
0116200000000,"Centeno, excepto para siembra"
0117100000000,"Avena, para siembra (semillas)"
0117200000000,"Avena, excepto para siembra"
0118100000000,"Mijo, para siembra (semillas)"
0118200000000,"Mijo, excepto para siembra"
0119100000100,"Triticale, para siembra (semillas)"
0119100009900,"Triticale, excepto para siembra"
0119200000100,"Trigo negro o sarraceno (alforfón), para siembra (semillas)"
0119200009900,"Trigo negro o sarraceno (alforfón), excepto para siembra"
0119300000100,"Mijo fonio (cereal africano), para siembra (semillas)"
0119300009900,"Mijo fonio (cereal africano), excepto para siembra"
0119400000100,"Quinoa, para siembra"
0119400009900,"Quinoa, excepto para siembra"
0119500000100,"Alpiste, para siembra"
0119500009900,"Alpiste, excepto para siembra"
0119900000100,"Cereales, para siembra, n.c.p."
0119900009900,"Cereales, excepto para siembra, n.c.p."
0121100000000,"Espárragos, frescos o refrigerados"
0121201010000,"Col o colinabo orgánico, fresco o refrigerado"
0121201020100,"Col china, fresca o refrigerada"
0121201020200,"Col forrajera (berza), fresca o refrigerada"
0121201020300,"Col de Bruselas, fresca o refrigerada"
0121201020400,"Colinabo, fresco o refrigerado"
0121201020500,"Col crespa (Kale), fresca o refrigerada"
0121202010000,"Repollo orgánico, fresco o refrigerado"
0121202020100,"Repollo blanco, fresco o refrigerado"
0121202020200,"Repollo morado, fresco o refrigerado"
0121202029900,"Repollo, fresco o refrigerado, n.c.p."
0121301010100,"Brócoli chino orgánico, fresco o refrigerado"
0121301010200,"Brócoli orgánico, fresco o refrigerado"
0121301020100,"Brócoli chino, fresco o refrigerado"
0121301020200,"Brócoli, fresco o refrigerado"
0121302010000,"Coliflor orgánica, fresca o refrigerada"
0121302020000,"Coliflor, fresca o refrigerada"
0121401010100,"Endibia orgánica, fresca o refrigerada"
0121401010200,"Achicoria orgánica, fresca o refrigerada"
0121401020100,"Endibia, fresca o refrigerada"
0121401020200,"Achicoria, fresca o refrigerada"
0121402010000,"Lechuga orgánica, fresca o refrigerada"
0121402020100,"Lechuga ""Boston"", fresca o refrigerada"
0121402020200,"Lechuga ""frisee"", fresca o refrigerada"
0121402020300,"Lechuga ""lolla rossa"", fresca o refrigerada"
0121402020400,"Lechuga ""iceberg"", fresca o refrigerada"
0121402020500,"Lechuga morada, fresca o refrigerada"
0121402020600,"Lechuga romana o escarola, fresca o refrigerada"
0121402020700,"Lechuga ""baby leaf"", fresca o refrigerada"
0121402020800,"Lechuga americana, fresca o refrigerada"
0121402020900,"Lechuga ""salanova"", fresca o refrigerada"
0121402021000,"Lechuga ""Verónica"", fresca o refrigerada"
0121402021100,"Lechuga criolla, fresca o refrigerada"
0121402029900,"Lechuga, fresca o refrigerada, n.c.p."
0121500010000,"Espinacas orgánicas, frescas o refrigeradas"
